,id,geoid,population,below50pov,below125pov,below150pov,below185pov,below200pov,below300pov,below400pov,below500pov
61851,1400000US48029130800,"Census Tract 1308, Bexar County, Texas",6037,879,2833,3309,3921,4095,4935,5523,5756
61852,1400000US48029130900,"Census Tract 1309, Bexar County, Texas",5246,670,1979,2784,3309,3368,4464,5025,5143
61853,1400000US48029131000,"Census Tract 1310, Bexar County, Texas",5003,957,2636,2748,3093,3150,3957,4509,4752
61854,1400000US48029131100,"Census Tract 1311, Bexar County, Texas",2651,433,784,1014,1302,1422,2173,2358,2587
61855,1400000US48029131200,"Census Tract 1312, Bexar County, Texas",2806,719,1301,1448,1592,1661,2196,2522,2573
61856,1400000US48029131300,"Census Tract 1313, Bexar County, Texas",6156,265,1582,2059,2498,3184,4445,5105,5392
61857,1400000US48029131401,"Census Tract 1314.01, Bexar County, Texas",11090,442,2014,2466,3115,3412,5959,7910,9418
61858,1400000US48029131402,"Census Tract 1314.02, Bexar County, Texas",3016,171,1020,1307,1391,1456,1780,2359,2580
61859,1400000US48029131503,"Census Tract 1315.03, Bexar County, Texas",3081,145,549,632,874,968,1676,2252,2725
61860,1400000US48029131504,"Census Tract 1315.04, Bexar County, Texas",4824,423,1461,1630,2094,2108,3143,3781,4264
61861,1400000US48029131505,"Census Tract 1315.05, Bexar County, Texas",5790,39,1156,1388,1725,2088,3731,4804,5085
61862,1400000US48029131506,"Census Tract 1315.06, Bexar County, Texas",3849,214,547,869,1173,1246,2146,2871,3456
61863,1400000US48029131507,"Census Tract 1315.07, Bexar County, Texas",6309,462,1777,1971,2895,2993,4587,5663,5994
61864,1400000US48029131601,"Census Tract 1316.01, Bexar County, Texas",5645,58,285,361,494,618,1536,2814,3437
61865,1400000US48029131606,"Census Tract 1316.06, Bexar County, Texas",6024,100,505,742,1282,1389,2849,3620,4371
61866,1400000US48029131608,"Census Tract 1316.08, Bexar County, Texas",5893,251,694,1122,1732,1856,2592,3691,4595
61867,1400000US48029131609,"Census Tract 1316.09, Bexar County, Texas",6687,253,636,668,1145,1466,3581,4543,5165
61868,1400000US48029131610,"Census Tract 1316.10, Bexar County, Texas",4990,290,590,653,817,963,2623,3623,4367
61869,1400000US48029131611,"Census Tract 1316.11, Bexar County, Texas",869,51,90,125,164,220,353,557,639
61870,1400000US48029131612,"Census Tract 1316.12, Bexar County, Texas",1931,137,222,286,337,472,892,1334,1784
61871,1400000US48029131613,"Census Tract 1316.13, Bexar County, Texas",4066,117,264,813,1210,1387,2411,3021,3359
